שם מקורי,שם מתורגם
נוקמת,NVKMT
נור,NVR
נישואים אפלים,NYSHVAYM_APLYM
נמלט,NMLT
נמלטות,NMLTVT
נערה בזכוכית,NARH_BZKVKYT
נערה ושמה פריהא,NARH_VSHMH_PRYHA
נערת הכפר,NART_HKPR
נקמה מתוקה,NKMH_MTVKH
נקמת דם,NKMT_DM
נקמת המשפחה,NKMT_HMSHPHH
נרימאן,NRYMAN
סוד הפנינה,SVD_HPNYNH
סודות אפלים,SVDVT_APLYM
סודות האהבה,SVDVT_HAHBH
סודות ושקרים,SVDVT_VSHKRYM
סוף הלילה,SVP_HLYLH
סטטוס האהבה,STTVS_HAHBH
סטילטו,STYLTV
סיכוי לחיים,SYKVY_LHYYM
סילה,SYLH
סינמה,SYNMH
סיפור האי,SYPVR_HAY
סיפור של אהבה,SYPVR_SHEL_AHBH
סיפור של קיץ,SYPVR_SHEL_KYTS
סיפורי בודרום,SYPVRY_BVDRVM
סליחה,SLYHH
ספיר,SPYR
עד עולם,AD_AVLM
עומדות ביחד,AVMDVT_BYHD
עומר,AVMR
עונת הדובדבנים,AVNT_HDVBDBNYM
עוף החול,AVP_HHVL
עזיז,AZYZ
עידן הטוליפ,AYDN_HTVLYP
עיר הסודות,AYR_HSVDVT
על כנפי האהבה,AL_KNPY_HAHBH
עלה נושר,ALH_NVSHR
עניין של כבוד,ANYYN_SHEL_KBVD
עקרב,AKRB
פאטמה,PATMH
פארה,PARH
פזילט,PZYLT
פטמגול,PTMGVL
פילינטה,PYLYNTH
פלאשבק,PLASHBK
פנינה שחורה,PNYNH_SHHVRH
פסגת הלב,PSGT_HLB
פסק דין,PSK_DYN
פסק דין: יוון,PSK_DYN_YVVN
פעימות הלב,PAYMVT_HLB
פעם אהבתי,PAM_AHBTY
פצעי האהבה,PTSAY_HAHBH
פראי,PRAY
פרחי הבדידות,PRHY_HBDYDVT
פרחי הדם,PRHY_HDM
פרטים קטנים,PRTYM_KTNYM
צ'אליקושו,TSALYKVSHV
צבע הכסף,TSBA_HKSP
הצטלבות,HTSTLBVT
ציפור פצועה,TSYPVR_PTSVAH
ציפורי האש,TSYPVRY_HASH
צרה כפולה,TSRH_KPVLH
צרות גדולות,TSRVT_GDVLVT
קוברא,KVBRA
קוזיי גוניי,KVZYY_GVNYY
קוסם סולטן,KVSM_SVLTN
קח את ידי,KH_AT_YDY
קרדאיי,KRDAYY
קשר דחוף,KSHR_DHVP
ראמו,RAMV
רוח ליבי,RVH_LYBY
רוחות של אהבה,RVHVT_SHEL_AHBH
רומן מסובך,RVMN_MSVBK
רחמים,RHMYM
ריזה,RYZH
רסיסים,RSYSYM
רקיע,RKYA
שאהמראן,SHAHMRAN
שבוי באהבה,SHBVY_BAHBH
שבויה,SHBVYH
שבועה,SHBVAH
שדרות ברזיל,SHDRVT_BRZYL
שורה וסאיט,SHVRH_VSAYT
שושן פראי,SHVSHN_PRAY
שיברון לב,SHYBRVN_LB
שיר אהבה,SHYR_AHBH
שלוש אגורות,SHLVSH_AGVRVT
שלוש אחיות,SHLVSH_AHYVT
שמש חורפית,SHMSH_HVRPYT
שקרים,SHKRYM
שתולים,SHTVLYM
תאהב אותי,TAHB_AVTY
"תודה, נקסט",TVDH_NKST
תמיד איתך,TMYD_AYTK
תשמע אותי,TSHMA_AVTY
תתקשר לסוכן שלי,TTKSHR_LSVKN_SHLY
אהבה ושנאה,AHBH_VSHNAH
אובססיה,AVBSSYH
סגולה כמו הים,SGVLH_KMV_HYM
