שם מקורי,שם מתורגם
מרגריטה,MRGRYTH
מרדונה: חלום מבורך,MRDVNH_HLVM_MBVRK
מריה קלרה,MRYH_KLRH
משחק של שקרים,MSHHK_SHEL_SHKRYM
משחקי שתיקה,MSHHKY_SHTYKH
משפחה בסרט,MSHPHH_BSRT
מתים לחיות,MTYM_LHYVT
נהר התשוקה,NHR_HTSHVKH
נושמים עמוק,NVSHMYM_AMVK
נחשים וסולמות,NHSHYM_VSVLMVT
סוד הגשר,SVD_HGSHR
סוי לונה,SVY_LVNH
סוכר מר,SVKR_MR
סוף האהבה,SVP_HAHBH
סופרסטאר,SVPRSTAR
סלסט,SLST
סנטו,SNTV
סקאם ספרד,SKAM_SPRD
עד שהכסף יפריד בינינו,AD_SHHKSP_YPRYD_BYNYNV
עמוק בבוץ,AMVK_BBVTS
עמק הפרא,AMK_HPRA
עמק התשוקות,AMK_HTSHVKVT
עשירים לא מבקשים רשות,ASHYRYM_LA_MBKSHYM_RSHVT
פטיטו,PTYTV
פלורסיינטה,PLVRSYYNTH
פעמונים בלילה,PAMVNYM_BLYLH
פצועה,PTSVAH
פרחים מרים,PRHYM_MRYM
פשוט אנה,PSHVT_ANH
פשוט נהדרת,PSHVT_NHDRT
פתאום אבא,PTAVM_ABA
צוללת לתהום,TSVLLT_LTHVM
ציידי הגרינגוס,TSYYDY_HGRYNGVS
קאבו,KABV
קאלי'ז מאש אפ,KALYZ_MASH_AP
קפה בניחוח אישה,KPH_BNYHVH_AYSHH
קרומניון: ליל השרפה,KRVMNYVN_LYL_HSHRPH
קרלוס אלקרס: בדרך שלי,KRLVS_ALKRS_BDRK_SHLY
קשר דם,KSHR_DM
רובי,RVBY
רובי 2020,RVBY_2020
רוח הנקמה,RVH_HNKMH
רולאבוגן,RVLABVGN
רוצח הזיכרון,RVTSH_HZYKRVN
ריגו,RYGV
רק אלוהים סולח,RK_ALVHYM_SVLH
רק את,RK_AT
שודדים: הסדרה,SHVDDYM_HSDRH
שטח פראי,SHTH_PRAY
שם קוד: יגואר,SHM_KVD_YGVAR
שני קברים,SHNY_KBRYM
שש אחיות,SHSH_AHYVT
שתי נשים,SHTY_NSHYM
תשוקה וכוח,TSHVKH_VKVH
תשוקת הנצים,TSHVKT_HNTSYM
להתעורר לצדך,LHTAVRR_LTSDK
5 כוכבים,5_KVKBYM
טקסי,TKSY
