שם מקורי,שם מתורגם
דרבי הקריוקי של ישראל,DRBY_HKRYVKY_SHEL_YSHRAL
דרימארס,DRYMARS
האוצר שלנו,HAVTSR_SHLNV
האזרח ק',HAZRH_K
האחיות המוצלחות שלי,HAHYVT_HMVTSLHVT_SHLY
האחיין שלי בנץ,HAHYYN_SHLY_BNTS
האחים דה גמה,HAHYM_DH_GMH
האי,HAY
האיש הכי מטומטם בעולם,HAYSH_HKY_MTVMTM_BAVLM
האיש שרצה לדעת הכל,HAYSH_SHRTSH_LDAT_HKL
האלבומים,HALBVMYM
האלופה,HALVPH
האמת,HAMT
האקס המיתולוגי,HAKS_HMYTVLVGY
הבאר,HBAR
הבוזגלוס,HBVZGLVS
הבורגנים,HBVRGNYM
הבורר,HBVRR
הביגבגים,HBYGBGYM
הביוטריות,HBYVTRYVT
הבלוגריות,HBLVGRYVT
הבנים והבנות,HBNYM_VHBNVT
הגולדשטיינים,HGVLDSHTYYNYM
הגרמני,HGRMNY
הד קולך,HD_KVLK
הדבר הגדול המיוחד,HDBR_HGDVL_HMYVHD
ההחלטה,HHHLTH
הוא והיא,HVA_VHYA
הזדמנות אחרונה לאהבה,HZDMNVT_AHRVNH_LAHBH
החבר'ה הטובים,HHBRH_HTVBYM
החברים של נאור,HHBRYM_SHEL_NAVR
החדש של עומרי גורדון,HHDSH_SHEL_AVMRY_GVRDVN
החולמים,HHVLMYM
החיים הם תקופה קשה,HHYYM_HM_TKVPH_KSHH
החיים הסודיים של בני 4: ישראל,HHYYM_HSVDYYM_SHEL_BNY_4_YSHRAL
החיים זה לא הכל,HHYYM_ZH_LA_HKL
החיים כשמועה,HHYYM_KSHMVAH
החיים על פי נועה תשבי,HHYYM_AL_PY_NVAH_TSHBY
החיים על פי פורמולה,HHYYM_AL_PY_PVRMVLH
החמישייה הקאמרית,HHMYSHYYH_HKAMRYT
החממה,HHMMH
החנות  שיש בה הכל,HHNVT_SHYSH_BH_HKL
החפרנים,HHPRNYM
החצר,HHTSR
הטבח המתוסבך,HTBH_HMTVSBK
הטוב מכולם,HTVB_MKVLM
הטייסות,HTYYSVT
הידוענים,HYDVANYM
היהודים באים,HYHVDYM_BAYM
היום בעוד שנה,HYVM_BAVD_SHNH
היורשת,HYVRSHT
היחידה,HYHYDH
"היכון, הכן, שף!",HYKVN_HKN_SHP
היכל התהילה ערוץ הילדים,HYKL_HTHYLH_ARVTS_HYLDYM
הילדים מגבעת נפוליאון,HYLDYM_MGBAT_NPVLYAVN
הישראלים,HYSHRALYM
הכבוד של מרציאנו,HKBVD_SHEL_MRTSYANV
הכל דבש,HKL_DBSH
הכל הולך,HKL_HVLK
הכל טום,HKL_TVM
הכל נשבר במשפחה,HKL_NSHBR_BMSHPHH
הכלב של המדינה,HKLB_SHEL_HMDYNH
הלילה הארוך ביותר,HLYLH_HARVK_BYVTR
המאבטחת,HMABTHT
המגיפה,HMGYPH
המדובב,HMDVBB
המדרשה,HMDRSHH
המובילים,HMVBYLYM
המונית של טילטיל,HMVNYT_SHEL_TYLTYL
המוסד והאסיר X,HMVSD_VHASYR_X
המוסד: סיפור כיסוי,HMVSD_SYPVR_KYSVY
המועדון של יובל המבולבל,HMVADVN_SHEL_YVBL_HMBVLBL
המזח,HMZH
המחסן של כאילו,HMHSN_SHEL_KAYLV
המטרה: אמיא,HMTRH_AMYA
המטרה: מינכן,HMTRH_MYNKN
המיוחדת,HMYVHDT
המיזם,HMYZM
המלאך השומר שלי,HMLAK_HSHVMR_SHLY
המלון של פיני,HMLVN_SHEL_PYNY
המלכה שושנה,HMLKH_SHVSHNH
המניע,HMNYA
המנצח,HMNTSH
המסע המופלא של אהרוני וגידי,HMSA_HMVPLA_SHEL_AHRVNY_VGYDY
המסעדה של מיקי,HMSADH_SHEL_MYKY
המעגל עם דן שילון,HMAGL_AM_DN_SHYLVN
המפקדת,HMPKDT
המפרץ,HMPRTS
המקוללים,HMKVLLYM
המקום,HMKVM
המשאית,HMSHAYT
המשימה: אמזונס,HMSHYMH_AMZVNS
המשפחה,HMSHPHH
המשפיעים,HMSHPYAYM
המשרד: ישראל,HMSHRD_YSHRAL
המתבגרים,HMTBGRYM
המתחם ה־25,HMTHM_H25
המתמחים,HMTMHYM
המתנחל,HMTNHL
המתקשרים,HMTKSHRYM
הנוכלות,HNVKLVT
הנורמטיבים,HNVRMTYBYM
הנחלה,HNHLH
הנספח,HNSPH
הנערים,HNARYM
הנפילים,HNPYLYM
הסדרתיים,HSDRTYYM
הסודות של כנרת,HSVDVT_SHEL_KNRT
הסוכן,HSVKN
הסוכנים,HSVKNYM
הספסל האחורי,HSPSL_HAHVRY
העולם המטורף של דוד חיים,HAVLM_HMTVRP_SHEL_DVD_HYYM
העולם עצוב אז צוחקים,HAVLM_ATSVB_AZ_TSVHKYM
העוקץ,HAVKTS
העיר הטובה,HAYR_HTVBH
העתיד עם האנה פריי,HATYD_AM_HANH_PRYY
הפוך,HPVK
הפיג'מות,HPYGMVT
הפיג'מות במופע של דובל'ה,HPYGMVT_BMVPA_SHEL_DVBLH
הפיג'מות בקפה קר סול,HPYGMVT_BKPH_KR_SVL
הפליליסטיות,HPLYLYSTYVT
הפסיכולוגית,HPSYKVLVGYT
הפרלמנט,HPRLMNT
הצבי,HTSBY
הצורף,HTSVRP
הצחוקייה,HTSHVKYYH
הצילו! אני לא יודע לבשל,HTSYLV_ANY_LA_YVDA_LBSHL
הצלצול האמיתי,HTSLTSVL_HAMYTY
הצלצול הוא בשבילי,HTSLTSVL_HVA_BSHBYLY
הצצקנים,HTSTSKNYM
הצרפוקאים,HTSRPVKAYM
הקברניטים,HKBRNYTYM
הקודחים,HKVDHYM
הקומדי סטור,HKVMDY_STVR
הקלמרים,HKLMRYM
הקרמבויז,HKRMBVYZ
הקרקס של רינת,HKRKS_SHEL_RYNT
הראש,HRASH
הרווק: ישראל,HRVVK_YSHRAL
הרוסים,HRVSYM
הרמון,HRMVN
השגריר,HSHGRYR
השגרירות,HSHGRYRVT
השוטר הטוב,HSHVTR_HTVB
השוטרים,HSHVTRYM
השועלים,HSHVALYM
השופטת ליטל,HSHVPTT_LYTL
השיר שלנו,HSHYR_SHLNV
השמיניה,HSHMYNYH
השמרטפים,HSHMRTPYM
השנים הכי יפות,HSHNYM_HKY_YPVT
השף המעופף,HSHP_HMAVPP
התחלה חדשה,HTHLH_HDSHH
התחנה,HTHNH
התחתנתי עם כדורגלן,HTHTNTY_AM_KDVRGLN
התנתקות,HTNTKVT
התסריטאי,HTSRYTAY
ואז הגיע ילד,VAZ_HGYA_YLD
והילד הזה הוא אני,VHYLD_HZH_HVA_ANY
ווארט,VVART
וזכרוני הראשון,VZKRVNY_HRASHVN
ויקי ואני,VYKY_VANY
זאת וזאתי,ZAT_VZATY
זאת שלי,ZAT_SHLY
זבנג!,ZBNG
זגורי אימפריה,ZGVRY_AYMPRYH
זה לא הגיל,ZH_LA_HGYL
זהבי,ZHBY
זהו זה,ZHV_ZH
זואולוגי,ZVAVLVGY
זוג מנצח VIP,ZVG_MNTSH_VIP
זוגות,ZVGVT
זוהר ארגוב: סוף עצוב וידוע מראש,ZVHR_ARGVB_SVP_ATSVB_VYDVA_MRASH
זומזום,ZVMZVM
זיגי,ZYGY
זינזאנה,ZYNZANH
זמר חתונות,ZMR_HTVNVT
זנזורי,ZNZVRY
חאנשי,HANSHY
חבורת הספסל האחורי,HBVRT_HSPSL_HAHVRY
חבורת מיכל הקטנה,HBVRT_MYKL_HKTNH
חברות,HBRVT
חדשות מהעבר,HDSHVT_MHABR
חוזרים לשכונה,HVZRYM_LSHKVNH
חולי אהבה,HVLY_AHBH
חוליגנים,HVLYGNYM
חזי ובניו,HZY_VBNYV
חזרות,HZRVT
חטופים,HTVPYM
חי בלה לה לנד,HY_BLH_LH_LND
חיות במה,HYVT_BMH
חיות במה בהופעה,HYVT_BMH_BHVPAH
חיות במה צוחקות,HYVT_BMH_TSVHKVT
חיות שטח,HYVT_SHTH
חיי כלב,HYY_KLB
חיים אחרים,HYYM_AHRYM
חיים חדשים,HYYM_HDSHYM
חיים שלי,HYYM_SHLY
חיפזון וזהירון,HYPZVN_VZHYRVN
חלומות מפלסטיק,HLVMVT_MPLSTYK
חלומות נעורים,HLVMVT_NAVRYM
חמישים,HMYSHYM
חנוך דאום מחשב מסלול מחדש,HNVK_DAVM_MHSHB_MSLVL_MHDSH
חסמבה דור 3,HSMBH_DVR_3
חצויה,HTSVYH
חצי המנשה,HTSY_HMNSHH
חרדים ברשת,HRDYM_BRSHT
חשודה,HSHVDH
חשופים,HSHVPYM
טאבו,TABV
טהרן,THRN
טופי והגורילה,TVPY_VHGVRYLH
טיטו ורוחו,TYTV_VRVHV
טיימלין,TYYMLYN
טיפול לילי,TYPVL_LYLY
טירונות,TYRVNVT
טלוויזיה במיטבה,TLVVYZYH_BMYTBH
טלוויזיה מהעתיד,TLVVYZYH_MHATYD
"טלנובלה בע""מ",TLNVBLH_BAM
טקסי דרייבר,TKSY_DRYYBR
טריני וסוזנה,TRYNY_VSVZNH
טרנינג,TRNYNG
יהודה יוצא למלחמה,YHVDH_YVTSA_LMLHMH
יהודי באמריקה - זהות קרועה,YHVDY_BAMRYKH__ZHVT_KRVAH
יובל המבולבל: מר עגבניה,YVBL_HMBVLBL_MR_AGBNYH
יום צילום,YVM_TSYLVM
יומני אוסלו,YVMNY_AVSLV
יומני החופש הגדול,YVMNY_HHVPSH_HGDVL
יוני והמחוננים,YVNY_VHMHVNNYM
יונייטד היי,YVNYYTD_HYY
יחידה מעורבת,YHYDH_MAVRBT
יחפים,YHPYM
ילד משלי,YLD_MSHLY
ילד רע,YLD_RA
ילדות סכסכניות,YLDVT_SKSKNYVT
ילדות רעות,YLDVT_RAVT
ילדי בית העץ,YLDY_BYT_HATS
ילדי הים האדום,YLDY_HYM_HADVM
ילדי ראש הממשלה,YLDY_RASH_HMMSHLH
ילדים ביער,YLDYM_BYAR
ים של דמעות 1998,YM_SHEL_DMAVT_1998
יניב,YNYB
יס מן,YS_MN
ירון גאון,YRVN_GAVN
ירושלים,YRVSHLYM
יש לה את זה,YSH_LH_AT_ZH
ישמח חתני,YSHMH_HTNY
ישראל,YSHRAL
כאן גרים בכיף,KAN_GRYM_BKYP
כבודו: ישראל,KBVDV_YSHRAL
כדברא,KDBRA
כוונות טובות,KVVNVT_TVBVT
כוח סבתות,KVH_SBTVT
כוכב הצפון,KVKB_HTSPVN
כוכב נולד,KVKB_NVLD
כחולים,KHVLYM
כיפת ברזל,KYPT_BRZL
ככה זה,KKH_ZH
כל עוד בלבב,KL_AVD_BLBB
כל שבת שנייה,KL_SHBT_SHNYYH
כלוב הזהב,KLVB_HZHB
כמה רחוק,KMH_RHVK
כן המפקדת,KN_HMPKDT
כסף קטלני,KSP_KTLNY
כפולה,KPVLH
כפולים,KPVLYM
כראמל,KRAML
לא כולל שירות,LA_KVLL_SHYRVT
לא נפסיק לשיר,LA_NPSYK_LSHYR
לאבד את אליס,LABD_AT_ALYS
לאהוב את אנה,LAHVB_AT_ANH
לאהוב את אנה,LAHVB_AT_ANH
לבד בבית,LBD_BBYT
לגעת באושר,LGAT_BAVSHR
לה לה לנד,LH_LH_LND
לה פמיליה,LH_PMYLYH
להוציא את הכלב,LHVTSYA_AT_HKLB
להיות אבא,LHYVT_ABA
להיות איתה,LHYVT_AYTH
להיות זמרת,LHYVT_ZMRT
להיות עם חופשי,LHYVT_AM_HVPSHY
להעיר את הדב,LHAYR_AT_HDB
להציל את חיות הבית,LHTSYL_AT_HYVT_HBYT
להציל את חיות הבר,LHTSYL_AT_HYVT_HBR
להרוג את הסבתא,LHRVG_AT_HSBTA
להתבגר,LHTBGR
לוחמים,LVHMYM
לחיי האהבה,LHYY_HAHBH
לחיי הערבה,LHYY_HARBH
ליהיא ונעמה - מטראש לקלאס,LYHYA_VNAMH__MTRASH_LKLAS
למה זה טוב?,LMH_ZH_TVB
למה מי מת?!,LMH_MY_MT
לעבור את הלילה,LABVR_AT_HLYLH
לעוף על אנה,LAVP_AL_ANH
לעיניו בלבד: הפוליטיקה של המוסד,LAYNYV_BLBD_HPVLYTYKH_SHEL_HMVSD
לצבי יש בעיה,LTSBY_YSH_BAYH
לרקוד עם דמעות בעיניים,LRKVD_AM_DMAVT_BAYNYYM
מ.ק. 22,MK_22
מאנקיז,MANKYZ
מבצע קיפוד,MBTSA_KYPVD
מגדלים,MGDLYM
מגדלים באוויר,MGDLYM_BAVVYR
מגזימות,MGZYMVT
מגידו,MGYDV
מגן דוד דרום,MGN_DVD_DRVM
מגרש הרוסים,MGRSH_HRVSYM
מגש הכסף,MGSH_HKSP
מדינת הגמדים,MDYNT_HGMDYM
מדרסה,MDRSH
מה אתה יודע?,MH_ATH_YVDA
מה אתם הייתם עושים?,MH_ATM_HYYTM_AVSHYM
מה בכריש,MH_BKRYSH
מה הבעיה?,MH_HBAYH
מה מי מו עם דוד חיים,MH_MY_MV_AM_DVD_HYYM
"מה קרה לצה""ל?",MH_KRH_LTSHL
מה שבע?,MH_SHBA
מה שלמה?,MH_SHLMH
מה שקורה באילת,MH_SHKVRH_BAYLT
מהכרם עד קיסריה,MHKRM_AD_KYSRYH
מהפכה במטבח,MHPKH_BMTBH
מולי וצומי,MVLY_VTSVMY
מונא,MVNA
מועדון החנונים,MVADVN_HHNVNYM
מורובוט,MVRVBVT
מותק בול באמצע,MVTK_BVL_BAMTSA
מזרח תיכון מרכז,MZRH_TYKVN_MRKZ
מחוברים,MHVBRYM
מחוץ לחוק,MHVTS_LHVK
מחנה אבא,MHNH_ABA
מחר שבת,MHR_SHBT
מטומטמת,MTVMTMT
מטר שבעים,MTR_SHBAYM
מי יפיל את המאסטר,MY_YPYL_AT_HMASTR
מי ירה בילדי הבר נוער?,MY_YRH_BYLDY_HBR_NVAR
מי פה הבוס?,MY_PH_HBVS
מי שמע על חווה ונאווה,MY_SHMA_AL_HVVH_VNAVVH
מיגל,MYGL
מיוחדת,MYVHDT
מייקל,MYYKL
מיכאלה,MYKALH
מיכל הקטנה ואוצר הפיראטים,MYKL_HKTNH_VAVTSR_HPYRATYM
מיכל הקטנה והטונטונים,MYKL_HKTNH_VHTVNTVNYM
מיכל הקטנה והמפלצות,MYKL_HKTNH_VHMPLTSVT
מיכל הקטנה רוצה להיות גדולה,MYKL_HKTNH_RVTSH_LHYVT_GDVLH
מילואים,MYLVAYM
מינכן 72,MYNKN_72
מיקי בספארי,MYKY_BSPARY
מלאך משחית,MLAK_MSHHYT
מלאך של אמא,MLAK_SHEL_AIMA
מלבי אקספרס,MLBY_AKSPRS
מלון הוטל,MLVN_HVTL
מלחמת המינים,MLHMT_HMYNYM
מלכות,MLKVT
מלכת היופי של ירושלים,MLKT_HYVPY_SHEL_YRVSHLYM
מנאייכ,MNAYYK
מנגן ושר,MNGN_VSHR
מנדלבאום בלש פרטי,MNDLBAVM_BLSH_PRTY
מנהמנה#,MNHMNH
מסובך,MSVBK
מסודרים,MSVDRYM
מסעדת בונבון,MSADT_BVNBVN
מסעדת הפועלים של שגב,MSADT_HPVALYM_SHEL_SHGB
מספרה בהפרעה,MSPRH_BHPRAH
מעורב ירושלמי,MAVRB_YRVSHLMY
מעושרות,MAVSHRVT
מעילה,MAYLH
מעצר בית,MATSR_BYT
מפלצות קטנות,MPLTSVT_KTNVT
מפרץ האהבה,MPRTS_HAHBH
מצב האומה,MTSB_HAVMH
מצב כפית,MTSB_KPYT
מצולמים,MTSVLMYM
מקימי,MKYMY
מקיף מילאנו,MKYP_MYLANV
מרחב ירקון,MRHB_YRKVN
מרחק נגיעה,MRHK_NGYAH
מריו,MRYV
משאבת הכסף,MSHABT_HKSP
משחק החיים,MSHHK_HHYYM
משחקי המוח,MSHHKY_HMVH
משחקי השף קונדיטור,MSHHKY_HSHP_KVNDYTVR
משיח,MSHYH
משמורת,MSHMVRT
משמר הגבול,MSHMR_HGBVL
משפחה בהופעה,MSHPHH_BHVPAH
משפחה בהנפקה,MSHPHH_BHNPKH
משפחה וחצי,MSHPHH_VAHEZI
משפחה טובה,MSHPHH_TVBH
משפחה לפני הכל,MSHPHH_LPNY_HKL
משפחה מאושרת בשישה שיעורים,MSHPHH_MAVSHRT_BSHYSHH_SHYAVRYM
משפחה שולטת,MSHPHH_SHVLTT
משפחת כספי,MSHPHT_KSPY
מתוקים,MTVKYM
מתחת לעור,MTHT_LAVR
מתי נתנשק,MTY_NTNSHK
מתים לרגע,MTYM_LRGA
מתיר עגונות,MTYR_AGVNVT
מתכון לחופשה באיטליה,MTKVN_LHVPSHH_BAYTLYH
מתלהבת,MTLHBT
נאפס,NAPS
נבלות,NBLVT
נבסו,NBSV
נוי והדר,NVY_VHDR
נויורק,NVYVRK
נופלות על הרגליים,NVPLVT_AL_HRGLYYM
נוקאאוט,NVKAAVT
נורמלי,NVRMLY
נחמה,NHMH
נסרין אגדה,NSRYN_AGDH
נעולים,NAVLYM
נעורים,NAVRYM
נעלמים,NALMYM
נפלת חזק,NPLT_HZK
נראה אותך,NRAH_AVTK
נשואים פלוס: ישראל,NSHVAYM_PLVS_YSHRAL
נשות הטייסים,NSHVT_HTYYSYM
נשרים,NSHRYM
"סאלח, פה זה ארץ ישראל",SALH_PH_ZH_ARTS_YSHRAL
סברי מרנן,SBRY_MRNN
סובייצקה,SVBYYTSKH
סודות בחנות הקסמים,SVDVT_BHNVT_HKSMYM
סוואגרז,SVVAGRZ
סוסי פרא,SVSY_PRA
סוף לסיפור,SVP_LSYPVR
סוף עונת התפוזים - סיפורו של הרוק הישראלי,SVP_AVNT_HTPVZYM__SYPVRV_SHEL_HRVK_HYSHRALY
סופר נני,SVPR_NNY
סופשלי,SVPSHLY
סטודיו אמציה,STVDYV_AMTSYH
סטופ כדור הארץ,STVP_KDVR_HARTS
סטנדאפ ניישן,STNDAP_NYYSHN
סיטי טאוור,SYTY_TAVVR
"סיירת מטכ""ל",SYYRT_MTKL
סיליקון ואדי,SYLYKVN_VADY
סימני שאלה,SYMNY_SHALH
סינגלס,SYNGLS
סליחה על השאלה - ילדים,SLYHH_AL_HSHALH__YLDYM
סלפיז,SLPYZ
ספיידרז,SPYYDRZ
ספין,SPYN
סקיי,SKYY
סקין טוק,SKYN_TVK
סרוגים,SRVGYM
סרטים מהחיים,SRTYM_MHHYYM
סתאאאם!,STAAAM
עבודה ערבית,ABVDH_ARBYT
עד החתונה,AD_HHTVNH
עד סוף העולם,AD_SVP_HAVLM
עולם מושלם,AVLM_MVSHLM
עושות חשבון,AVSHVT_HSHBVN
עיר מקלט,AYR_MKLT
על הדרך / אוףרוד,AL_HDRK__AVPRVD
על הספקטרום,AL_HSPKTRVM
על קצות האצבעות,AL_KTSVT_HATSBAVT
עלומים,ALVMYM
עלייתה ונפילתה של ענבל אור,ALYYTH_VNPYLTH_SHEL_ANBL_AVR
עם סגולה,AM_SGVLH
עמוק במים,AMVK_BMYM
עממיות,AMMYVT
עניין של זמן,ANYYN_SHEL_ZMN
עניין של זמן,ANYYN_SHEL_ZMN
עספור,ASPVR
עפרה,APRH
עקרון ההחלפה,AKRVN_HHHLPH
ערב חד פעמי,ARB_HD_PAMY
עשרים פלוס,ASHRYM_PLVS
פאודה,PAVDH
פאנץ',PANTS
פאסוורד,PASVVRD
פאפא,PAPA
"פבלו, אוכל וחברים",PBLV_AVKL_VHBRYM
פגום,PGVM
פול ספיד,PVL_SPYD
פוליאקובים,PVLYAKVBYM
פולישוק,PVLYSHVK
פולמון,PVLMVN
פוראבר,PVRABR
פושרז,PVSHRZ
פותחים הכל עם ירון אילן,PVTHYM_HKL_AM_YRVN_AYLN
פטריק,PTRYK
פילו וסופי,PYLV_VSVPY
פיק אפ,PYK_AP
פלאי קלעים,PLAY_KLAYM
פלאשבק,PLASHBK
פלורנטין,PLVRNTYN
פלמח,PLMH
פלפלים צהובים,PLPLYM_TSHVBYM
פמת״א,PMTA
פנים אמיתיות,PNYM_AMYTYVT
פסיכו,PSYKV
